0	0,006113
1	0,000423
2	0,000343
3	0,000275
4	0,000220
5	0,000182
6	0,000155
7	0,000139
8	0,000129
9	0,000125
10	0,000129
11	0,000143
12	0,000173
13	0,000222
14	0,000303
15	0,000417
16	0,000557
17	0,000709
18	0,000850
19	0,000953
20	0,001012
21	0,001022
22	0,001004
23	0,000963
24	0,000911
25	0,000856
26	0,000808
27	0,000772
28	0,000752
29	0,000745
30	0,000752
31	0,000768
32	0,000791
33	0,000820
34	0,000855
35	0,000895
36	0,000945
37	0,001005
38	0,001083
39	0,001181
40	0,001301
41	0,001447
42	0,001623
43	0,001833
44	0,002082
45	0,002364
46	0,002669
47	0,002983
48	0,003302
49	0,003630
50	0,003981
51	0,004371
52	0,004812
53	0,005308
54	0,005857
55	0,006460
56	0,007117
57	0,007831
58	0,008604
59	0,009454
60	0,010404
61	0,011504
62	0,012818
63	0,014429
64	0,016415
65	0,018832
66	0,021704
67	0,025016
68	0,028738
69	0,032822
70	0,037219
71	0,041880
72	0,046597
73	0,051181
74	0,056110
75	0,061477
76	0,067433
77	0,074160
78	0,081806
79	0,090478
80	0,100261
81	0,111193
82	0,123283
83	0,136498
84	0,150887
85	0,166500
86	0,183344
87	0,201323
88	0,220284
89	0,240073
90	0,260556
91	0,281602
92	0,303079
93	0,324872
94	0,346887
95	0,369051
96	0,391305
97	0,413938
98	0,437313
99	0,461101
100	0,485304
101	0,509924
102	0,534957
103	0,560407
104	0,586265
105	0,612529
106	0,639188
107	0,666233
108	0,693651
109	0,721425
110	0,749533
111	0,777950
112	0,806647
113	0,835585
114	0,864722
115	0,894008
116	0,923382
117	0,952778
118	0,982113
119	1,000000
120	1,000000
121	1,000000
