single_premium=100000.0
type=static_hybrid
benefit_at_maturity=188052.50324807048
irr=0.03208141094482553



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	15757.854970068192	92762.77829837358
2	77191.83084421924	15834.557125936342	93026.38797015557
3	77379.19932448979	15911.63263342665	93290.83195791644
4	77567.02990597952	15989.083309847018	93556.11321582654
5	77755.32372835469	16066.91098135118	93822.23470970587
6	77944.0819340923	16145.117482981774	94089.19941707408
7	78133.305668487	16223.704658713592	94357.01032720058
8	78322.99607965803	16302.674361497073	94625.6704411551
9	78513.15431855623	16382.028453301982	94895.18277185822
10	78703.78153897099	16461.76880516132	95165.55034413231
11	78894.87889753723	16541.89729721543	95436.77619475266
12	79086.44755374247	16622.415818756337	95708.8633724988
13	79278.48866993384	16703.326268272293	95981.81493820614
14	79471.0034113251	16784.63055349253	96255.63396481764
15	79663.99294600378	16866.330591432255	96530.32353743604
16	79857.45844493821	16948.428308437844	96805.88675337605
17	80051.40108198464	17030.925640232257	97082.32672221691
18	80245.82203389438	17113.824531960687	97359.64656585507
19	80440.72248032091	17197.126938236415	97637.84941855732
20	80636.10360382708	17280.834823186906	97916.93842701399
21	80831.96658989224	17364.95016050011	98196.91675039235
22	81028.31262691943	17449.474933471007	98477.78756039044
23	81225.14290624266	17534.41113504836	98759.55404129102
24	81422.45862213406	17619.760767881722	99042.21939001579
25	81620.26097181116	17705.525844368633	99325.7868161798
26	81818.55115544416	17791.708386702085	99610.25954214625
27	82017.3303761632	17878.310426918197	99895.64080308139
28	82216.59984006565	17965.334006944122	100181.93384700977
29	82416.36075622348	18052.7811786462	100469.14193486968
30	82616.61433669052	18140.654003878335	100757.26834056884
31	82817.36179650985	18228.954554530606	101046.31635104046
32	83018.60435372121	18317.684912578126	101336.28926629934
33	83220.34322936831	18406.84717013012	101627.19039949843
34	83422.57964750633	18496.44342947927	101919.0230769856
35	83625.31483520925	18586.47580315127	102211.79063836052
36	83828.55002257739	18676.946413954633	102505.49643653202
37	84032.2864427448	18767.85739503076	102800.14383777555
38	84236.52533188678	18859.210889904218	103095.736221791
39	84441.26792922738	18951.009052533296	103392.27698176067
40	84646.51547704691	19043.254047360777	103689.76952440769
41	84852.26922068947	19135.94804936498	103988.21727005445
42	85058.53040857051	19229.09324411104	104287.62365268156
43	85265.30029218443	19322.69182780245	104587.99211998688
44	85472.58012611212	19416.74600733282	104889.32613344493
45	85680.37116802864	19511.258000337933	105191.62916836658
46	85888.67467871078	19606.230035248034	105494.90471395882
47	86097.49192204479	19701.66435134035	105799.15627338515
48	86306.82416503398	19797.563198791915	106104.3873638259
49	86516.67267780642	19893.92883873261	106410.60151653903
50	86727.03873362267	19990.763543298475	106717.80227692114
51	86937.9236088835	20088.069595685298	107025.9932045688
52	87149.32858313763	20185.849290202426	107335.17787334006
53	87361.25493908947	20284.10493232688	107645.35987141635
54	87573.70396260695	20382.838838757707	107956.54280136465
55	87786.67694272927	20482.0533374706	108268.73028019987
56	88000.1751716748	20581.75076777279	108581.9259394476
57	88214.1999448488	20681.933480358213	108896.13342520702
58	88428.75256085143	20782.60383736292	109211.35639821435
59	88643.83432148545	20883.764212420778	109527.59853390623
60	88859.44653176432	20985.416990719437	109844.86352248376
61	89075.59049991993	21087.564569056573	110163.1550689765
62	89292.26753741066	21190.209355896393	110482.47689330706
63	89509.47895892932	21293.353771426424	110802.83273035575
64	89727.22608241107	21397.000247614582	111124.22633002565
65	89945.51022904147	21501.151228266503	111446.66145730797
66	90164.33272326447	21605.80916908318	111770.14189234764
67	90383.69489279047	21710.976537718845	112094.67143050932
68	90603.59806860436	21816.655813839167	112420.25388244353
69	90824.0435849736	21922.849489179713	112746.89307415331
70	91045.03277945629	22029.5600676047	113074.592847061
71	91266.56699290934	22136.790065166027	113403.35705807537
72	91488.64756949656	22244.542010162608	113733.18957965917
73	91711.27585669684	22352.818443199973	114064.09429989681
74	91934.4532053123	22461.62191725018	114396.07512256247
75	92158.18096947651	22570.954997712015	114729.13596718853
76	92382.46050666271	22680.82026247146	115063.28076913417
77	92607.29317769202	22791.220301962498	115398.51347965452
78	92832.6803467417	22902.157719228173	115734.83806596987
79	93058.6233813535	23013.635129981976	116072.25851133547
80	93285.1236524418	23125.655162669518	116410.77881511132
81	93512.18253430212	23238.220458530497	116750.40299283262
82	93739.8014046193	23351.333671660985	117091.13507628028
83	93967.98164447595	23464.997469075992	117432.97911355193
84	94196.72463836079	23579.214530772366	117775.93916913315
85	94426.03177417707	23693.98754979197	118120.01932396904
86	94655.904443251	23809.319232285194	118465.2236755362
87	94886.34404034013	23925.212297574737	118811.55633791487
88	95117.35196364191	24041.66947821975	119159.02144186165
89	95348.9296148021	24158.693520080247	119507.62313488233
90	95581.07839892327	24276.287182381864	119857.36558130514
