single_premium=100000.0
type=static_hybrid
benefit_at_maturity=233559.58803729602
irr=0.04332565108469422



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	16618.342699619763	93623.26602792516
2	77191.83084421924	16984.92379640236	94176.7546406216
3	77379.19932448979	17779.182824074767	95158.38214856456
4	77567.02990597952	18573.441859133385	96140.4717651129
5	77755.32372835469	19388.066499796885	97143.39022815158
6	77944.0819340923	18084.66706651429	96028.7490006066
7	78133.305668487	17697.72036843099	95831.02603691799
8	78322.99607965803	17086.751878875053	95409.74795853309
9	78513.15431855623	18125.398302059824	96638.55262061606
10	78703.78153897099	18573.44185335367	97277.22339232465
11	78894.87889753723	18369.785697894527	97264.66459543176
12	79086.44755374247	20548.906614737905	99635.35416848038
13	79278.48866993384	20304.51922867837	99583.00789861221
14	79471.0034113251	20935.85333032105	100406.85674164616
15	79663.99294600378	20691.465932146508	100355.4588781503
16	79857.45844493821	20406.347297973447	100263.80574291166
17	80051.40108198464	21241.33756335288	101292.73864533752
18	80245.82203389438	21058.0470173789	101303.86905127327
19	80440.72248032091	20956.21893580213	101396.94141612304
20	80636.10360382708	21424.62810829896	102060.73171212604
21	80831.96658989224	20956.218935861103	101788.18552575335
22	81028.31262691943	20793.29401540793	101821.60664232736
23	81225.14290624266	21893.0372796161	103118.18018585876
24	81422.45862213406	20772.928388923894	102195.38701105796
25	81620.26097181116	20324.884844805485	101945.14581661666
26	81818.55115544416	20039.766222009002	101858.31737745316
27	82017.3303761632	20039.766222009002	102057.0965981722
28	82216.59984006565	19571.35704697202	101787.95688703767
29	82416.36075622348	20467.444155036148	102883.80491125963
30	82616.61433669052	20121.228679424832	102737.84301611535
31	82817.36179650985	19713.916357571674	102531.27815408152
32	83018.60435372121	19652.81950055811	102671.42385427932
33	83220.34322936831	18797.463627144356	102017.80685651267
34	83422.57964750633	19306.6040199891	102729.18366749542
35	83625.31483520925	19367.700868886786	102993.01570409603
36	83828.55002257739	18166.12952042449	101994.67954300187
37	84032.2864427448	17718.085969592572	101750.37241233737
38	84236.52533188678	18166.129517144265	102402.65484903104
39	84441.26792922738	19713.91634204131	104155.18427126869
40	84646.51547704691	19795.3787982813	104441.8942753282
41	84852.26922068947	19449.163324168454	104301.43254485793
42	85058.53040857051	20508.17536285022	105566.70577142073
43	85265.30029218443	21037.68137721012	106302.98166939455
