single_premium=100000.0
type=static_hybrid
benefit_at_maturity=204266.19528353686
irr=0.036358049551723504



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	16248.246116841487	93253.16944514688
2	77191.83084421924	16691.62255374347	93883.4533979627
3	77379.19932448979	17158.33459168342	94537.53391617321
4	77567.02990597952	17781.728527368265	95348.75843334779
5	77755.32372835469	18161.765461862135	95917.08919021682
6	77944.0819340923	18738.48818322104	96682.57011731334
7	78133.305668487	18731.820860479056	96865.12652896605
8	78322.99607965803	19481.89376843081	97804.88984808885
9	78513.15431855623	19385.21769547957	97898.3720140358
10	78703.78153897099	20181.96181266483	98885.74335163581
11	78894.87889753723	20531.995841057316	99426.87473859455
12	79086.44755374247	21202.060974705524	100288.508528448
13	79278.48866993384	21348.74189982111	100627.23056975495
14	79471.0034113251	21518.758434146872	100989.76184547198
15	79663.99294600378	21808.786624896664	101472.77957090044
16	79857.45844493821	22305.501586274513	102162.96003121271
17	80051.40108198464	22355.506438924152	102406.9075209088
18	80245.82203389438	21335.407287532034	101581.22932142642
19	80440.72248032091	21735.44617417326	102176.16865449416
20	80636.10360382708	22912.227225975574	103548.33082980265
21	80831.96658989224	23512.285557439944	104344.25214733218
22	81028.31262691943	25235.78642860367	106264.09905552311
23	81225.14290624266	24692.40026416093	105917.54317040359
24	81422.45862213406	26209.21438600751	107631.67300814157
25	81620.26097181116	26362.562638525815	107982.82361033699
26	81818.55115544416	25239.120107217965	107057.67126266213
27	82017.3303761632	26712.596672613978	108729.92704877717
28	82216.59984006565	28279.415642690794	110496.01548275645
29	82416.36075622348	29506.201550877075	111922.56230710055
30	82616.61433669052	31813.092460316893	114429.70679700741
31	82817.36179650985	29986.24821307884	112803.6100095887
32	83018.60435372121	31579.736454403217	114598.34080812443
33	83220.34322936831	30489.63047897584	113709.97370834416
34	83422.57964750633	31849.762680616743	115272.34232812306
35	83625.31483520925	32349.811280147842	115975.1261153571
36	83828.55002257739	32679.843375481876	116508.39339805927
37	84032.2864427448	34980.06696209206	119012.35340483685
38	84236.52533188678	36730.23710531025	120966.76243719703
39	84441.26792922738	37063.60283090155	121504.87076012894
40	84646.51547704691	36363.53478925027	121010.05026629718
41	84852.26922068947	37797.0074760352	122649.27669672467
42	85058.53040857051	37360.2983570546	122418.8287656251
43	85265.30029218443	31913.102185919586	117178.40247810402
44	85472.58012611212	33903.29565857746	119375.87578468959
45	85680.37116802864	36626.89375935834	122307.26492738698
