single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=613017.4861815005
irr=0.09489795128952605



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	11236.274434504692	81993.98265559706	93230.25709010176
2	12107.406265149044	80921.30239028636	93028.7086554354
3	13677.103534268155	78975.41870520523	92652.52223947339
4	0.0	96987.80193806303	96987.80193806303
5	0.0	98110.18047255458	98110.18047255458
6	0.0	97646.80204021801	97646.80204021801
7	0.0	96467.32712459535	96467.32712459535
8	12053.657549207215	81085.96639257637	93139.62394178359
9	0.0	96595.02033563585	96595.02033563585
10	0.0	102902.75185055283	102902.75185055283
11	0.0	107530.87724202903	107530.87724202903
12	0.0	107782.32058816103	107782.32058816103
13	0.0	115463.51070854523	115463.51070854523
14	0.0	121566.99128728491	121566.99128728491
15	0.0	119833.85511144204	119833.85511144204
16	0.0	125835.2616707619	125835.2616707619
17	0.0	127613.18198092488	127613.18198092488
18	0.0	120130.45461004952	120130.45461004952
19	0.0	128675.48467730472	128675.48467730472
20	0.0	117682.40025279386	117682.40025279386
21	0.0	124140.9859357375	124140.9859357375
22	0.0	126783.606055173	126783.606055173
23	0.0	123219.26136203775	123219.26136203775
24	0.0	139445.3804435366	139445.3804435366
25	0.0	144580.63773762973	144580.63773762973
26	0.0	148393.093994911	148393.093994911
27	0.0	146711.31656248894	146711.31656248894
28	0.0	147573.112369887	147573.112369887
29	0.0	154640.998634602	154640.998634602
30	0.0	162115.6973953515	162115.6973953515
31	0.0	167759.01648631503	167759.01648631503
32	0.0	163686.6574869611	163686.6574869611
33	0.0	130946.31859075958	130946.31859075958
34	0.0	119762.43018521025	119762.43018521025
35	0.0	128495.89182562876	128495.89182562876
36	0.0	133693.04198227858	133693.04198227858
37	0.0	139254.0778882607	139254.0778882607
38	0.0	134623.13430365387	134623.13430365387
39	0.0	135868.08174436184	135868.08174436184
40	0.0	136333.04708926205	136333.04708926205
41	0.0	142205.5677065617	142205.5677065617
42	0.0	141422.6394176829	141422.6394176829
43	0.0	135960.3022133685	135960.3022133685
44	0.0	141364.5113555923	141364.5113555923
45	0.0	145052.89055550087	145052.89055550087
46	0.0	142294.3981056968	142294.3981056968
47	0.0	144370.95802207352	144370.95802207352
48	0.0	154661.5947328836	154661.5947328836
49	0.0	150187.697540653	150187.697540653
50	0.0	153303.8531254533	153303.8531254533
51	0.0	160942.64513475282	160942.64513475282
52	0.0	166605.90005737683	166605.90005737683
53	0.0	165303.31465707917	165303.31465707917
54	0.0	179907.29829121346	179907.29829121346
55	0.0	182659.30004543558	182659.30004543558
56	0.0	181460.7422283225	181460.7422283225
57	0.0	176935.5106623134	176935.5106623134
58	0.0	179843.31075231932	179843.31075231932
59	0.0	183686.6631362268	183686.6631362268
60	0.0	171053.24854761935	171053.24854761935
61	0.0	172505.57108222213	172505.57108222213
62	0.0	176660.57690180652	176660.57690180652
63	0.0	171927.91007504743	171927.91007504743
64	0.0	187724.80734146034	187724.80734146034
65	0.0	186058.678668932	186058.678668932
66	0.0	185068.2089289942	185068.2089289942
67	0.0	167654.96566578886	167654.96566578886
68	0.0	159076.92130626406	159076.92130626406
69	0.0	157982.56621160236	157982.56621160236
70	0.0	167437.72559740965	167437.72559740965
71	0.0	171592.0795513384	171592.0795513384
72	0.0	178708.4285626666	178708.4285626666
73	0.0	190761.3546347932	190761.3546347932
74	0.0	194967.46447809305	194967.46447809305
75	0.0	195068.3842912563	195068.3842912563
76	0.0	202548.02143121962	202548.02143121962
77	0.0	192880.07505943757	192880.07505943757
78	0.0	201502.63144191343	201502.63144191343
79	0.0	205448.61840989487	205448.61840989487
80	0.0	201548.6340869718	201548.6340869718
81	0.0	203935.73671547417	203935.73671547417
82	0.0	194943.96948101962	194943.96948101962
83	0.0	216711.0908726966	216711.0908726966
84	0.0	212395.68337972878	212395.68337972878
85	0.0	214418.95565065704	214418.95565065704
86	0.0	209739.98371924882	209739.98371924882
87	0.0	215555.87113151653	215555.87113151653
88	0.0	215812.6322685665	215812.6322685665
89	0.0	212017.05819415822	212017.05819415822
90	0.0	220378.36014012835	220378.36014012835
91	0.0	215076.2973326193	215076.2973326193
92	0.0	217047.42020749397	217047.42020749397
93	0.0	217511.96355549787	217511.96355549787
94	0.0	224106.52468501465	224106.52468501465
95	0.0	226337.30982811644	226337.30982811644
96	0.0	227944.68944634916	227944.68944634916
97	0.0	230331.2572274837	230331.2572274837
98	0.0	234639.8183294031	234639.8183294031
99	0.0	228663.02757117382	228663.02757117382
100	0.0	233854.5460505584	233854.5460505584
101	0.0	234007.37253945536	234007.37253945536
102	0.0	232757.71098807614	232757.71098807614
103	0.0	240805.90756189593	240805.90756189593
104	0.0	238361.59783192875	238361.59783192875
105	0.0	242981.42388723782	242981.42388723782
106	0.0	239861.93820353935	239861.93820353935
107	0.0	242248.20084813813	242248.20084813813
108	0.0	250140.07466962788	250140.07466962788
109	0.0	242605.85665644743	242605.85665644743
110	0.0	231539.8974946938	231539.8974946938
111	0.0	234185.73152953273	234185.73152953273
112	0.0	237091.21841295628	237091.21841295628
113	0.0	230751.9287605808	230751.9287605808
114	0.0	238019.97024823225	238019.97024823225
115	0.0	246949.85280887905	246949.85280887905
116	0.0	240299.1941729624	240299.1941729624
117	0.0	245333.79673297002	245333.79673297002
118	0.0	235619.2271931078	235619.2271931078
119	0.0	238524.4580195355	238524.4580195355
120	0.0	244285.92152634493	244285.92152634493
121	0.0	253111.27443995638	253111.27443995638
122	0.0	260015.07865600727	260015.07865600727
123	0.0	267282.3151693122	267282.3151693122
124	0.0	276990.1671491932	276990.1671491932
125	0.0	282907.08445547125	282907.08445547125
126	0.0	291887.72702073015	291887.72702073015
127	0.0	291780.8633416573	291780.8633416573
128	0.0	303461.55302074936	303461.55302074936
