single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=212372.64474909415
irr=0.03837668634019309



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	20350.149949765833	70601.63826152064	90951.78821128648
2	0.0	97829.71957592062	97829.71957592062
3	5044.225044874181	89766.5168169477	94810.74186182188
4	12933.136016759727	79921.61938243458	92854.75539919431
5	5231.325868016782	89565.1267284363	94796.45259645308
6	11118.557754271653	82222.33491112325	93340.8926653949
7	0.0	98359.10094256436	98359.10094256436
8	12237.417550201757	80856.26639133319	93093.68394153495
9	13792.307500442286	78928.91213955692	92721.21963999921
10	39001.17510030367	47434.089209001766	86435.26430930544
11	37928.79800364915	48790.825533042735	86719.62353669188
12	30876.475650294455	57622.496812614336	88498.97246290879
13	51926.290136004594	31326.500428714644	83252.79056471924
14	59535.64887969722	21831.077108401078	81366.7259880983
15	52312.266531964335	30876.583539138228	83188.85007110256
16	51250.63797828136	32219.901114786626	83470.53909306799
17	54044.72037344662	28743.583392553264	82788.30376599988
18	54828.2634308573	27780.44323139671	82608.70666225402
19	61484.002715870636	19477.061175325653	80961.06389119629
20	67325.60657338014	12191.351793928554	79516.95836730869
21	65853.20781230174	14048.149076765987	79901.35688906773
22	61054.95479431377	20062.267572445708	81117.22236675948
23	59924.24151832127	21491.9647830422	81416.20630136348
24	60750.672595011856	20475.234945901902	81225.90754091376
25	61931.58983327443	19015.400800619755	80946.9906338942
26	58600.68098955156	23195.35265234881	81796.03364190037
27	63800.67961497407	16711.673562881915	80512.35317785598
28	63856.918765672366	16657.697212762578	80514.61597843494
29	68130.98791519804	11331.436760758006	79462.42467595605
30	71117.21708053601	7614.979686343867	78732.19676687988
31	70342.63921409671	8599.534799714093	78942.1740138108
32	73510.96204587548	4655.467439081622	78166.4294849571
33	71252.90236917429	7494.381613526275	78747.28398270057
34	68918.35123281986	10428.913512722065	79347.26474554192
35	70833.16690951762	8051.740296494754	78884.90720601237
36	71094.05288673835	7741.982606213569	78836.03549295192
