single_premium=100000.0
type=static_hybrid
benefit_at_maturity=181097.87187742925
irr=0.0301386155463641



t	traditional_part	fund_part	total
0	86333.34301996016	6166.656980039843	92500.0
1	86543.25693538289	6389.5166086370855	92932.77354401998
2	86753.68855515002	6563.871495133245	93317.56005028327
3	86964.63915606012	6747.402954247298	93712.04211030742
4	87176.11001806069	6992.5485457861505	94168.65856384684
5	87388.10242425594	7141.995586862615	94530.09801111855
6	87600.61766091453	7368.788028348443	94969.40568926297
7	87813.65701747747	7366.166147248864	95179.82316472633
8	88027.2217865658	7661.127416827299	95688.3492033931
9	88241.31326398856	7623.1101828847695	95864.42344687333
10	88455.9327487506	7936.424600513664	96392.35734926426
11	88671.08154306044	8074.073194824635	96745.15473788508
12	88886.76095233826	8337.571929982034	97224.33288232029
13	89102.97228522367	8395.253245273341	97498.22553049702
14	89319.71685358381	8462.111136396212	97781.82798998003
15	89536.99597252121	8576.162827172115	98113.15879969332
16	89754.8109603818	8771.492739869132	98526.30370025094
17	89973.1631387629	8791.156821408747	98764.31996017165
18	90192.05383252127	8390.00949612786	98582.06332864912
19	90411.48436978109	8547.322174180257	98958.80654396134
20	90631.45608194207	9010.083632934056	99641.53971487613
21	90851.97030368751	9246.052650603513	100098.02295429102
22	91073.02837299241	9923.808105691476	100996.8364786839
23	91294.63163113156	9710.12504736977	101004.75667850133
24	91516.78142268771	10306.602288916993	101823.3837116047
25	91739.47909555968	10366.905487140682	102106.38458270037
26	91962.72600097064	9925.119053022081	101887.84505399271
27	92186.52349347615	10504.55408369144	102691.0775771676
28	92410.87293097256	11120.695405040378	103531.56833601293
29	92635.7756747051	11603.120946802292	104238.89662150739
30	92861.23308927621	12510.290722185096	105371.5238114613
31	93087.24654265383	11791.896159770029	104879.14270242385
32	93313.81740617963	12418.524997762373	105732.342403942
33	93540.94705457744	11989.847946400614	105530.79500097805
34	93768.63686596148	12524.711046690485	106293.34791265197
35	93996.88822184481	12721.351890807066	106718.24011265188
36	94225.70250714764	12851.13485564869	107076.83736279633
37	94455.08111020578	13755.682749897449	108210.76386010322
38	94685.02542277906	14443.925721946125	109128.95114472519
39	94915.53684005975	14575.019615102274	109490.55645516202
40	95146.61676068105	14299.722432431554	109446.3391931126
41	95378.26658672556	14863.426199248966	110241.69278597452
42	95610.48772373381	14691.693191956716	110302.18091569052
43	95843.28158071275	12549.618893248513	108392.90047396126
