single_premium=100000.0
type=static_hybrid
benefit_at_maturity=273771.1655018596
irr=0.05164554218480766



t	traditional_part	fund_part	total
0	48273.8735108504	44226.1264891496	92500.0
1	48389.9225070729	45824.43464145465	94214.35714852755
2	48506.25771142689	47074.87572957411	95581.133441001
3	48622.87982977884	48391.129503991746	97014.00933377058
4	48739.78956973606	50149.26847211457	98889.05804185063
5	48856.98764065102	51221.07508686066	100078.06272751169
6	48974.47475362566	52847.588647838806	101822.06340146446
7	49092.251621515665	52828.785000169606	101921.03662168527
8	49210.31895893482	54944.19282324132	104154.51178217614
9	49328.67748225934	54671.54023326394	104000.2177155233
10	49447.32790963224	56918.57344911831	106365.90135875055
11	49566.27096096763	57905.76377975534	107472.03474072297
12	49685.50735795516	59795.52810887597	109481.03546683113
13	49805.03782406434	60209.20786346439	110014.24568752873
14	49924.86308454895	60688.70032739883	110613.56341194778
15	50044.98386645146	61506.65801807029	111551.64188452176
16	50165.4008986074	62907.52812549064	113072.92902409803
17	50286.11491164981	63048.555291470344	113334.67020312016
18	50407.12663801369	60171.60066174453	110578.72729975822
19	50528.43681194039	61299.81817415224	111828.25498609262
20	50650.04616948211	64618.65800510011	115268.70417458222
21	50771.95544850638	66310.98427794922	117082.9397264556
22	50894.165388700465	71171.72139734024	122065.8867860407
23	51016.67673157593	69639.2259145344	120655.90264611033
24	51139.49022047308	73917.05067727904	125056.54089775213
25	51262.60660056554	74349.53409268119	125612.14069324674
26	51386.02661886469	71181.1232698056	122567.14988867029
27	51509.75102422427	75336.72443938156	126846.47546360584
28	51633.78056734489	79755.57635564201	131389.35692298692
29	51758.11600077857	83215.44336310138	134973.55936387996
30	51882.758078933366	89721.49767471224	141604.25575364562
31	52007.70755807787	84569.30437300523	136577.0119310831
32	52132.96519634585	89063.3708243257	141196.33602067156
33	52258.53175374084	85988.97807670147	138247.50983044232
34	52384.40799214075	89824.91758239547	142209.32557453623
35	52510.59467530247	91235.18944817012	143745.78412347258
36	52637.092568866545	92165.96893498137	144803.06150384792
37	52763.90244036177	98653.21959867583	151417.1220390376
38	52891.025059209904	103589.17125540254	156480.19631461246
39	53018.46119673027	104529.35247829933	157547.8136750296
40	53146.211626144504	102554.97185970636	155701.18348585087
41	53274.2771225812	106597.75130639385	159872.02842897506
42	53402.65846308064	105366.1138523482	158768.77231542883
43	53531.35642659948	90003.55206393276	143534.90849053225
44	53660.3717940155	95616.43422092639	149276.8060149419
45	53789.70534813234	103297.71515803992	157087.42050617226
46	53919.35787368424	109399.49156585945	163318.8494395437
47	54049.33015734082	115567.08066478891	169616.41082212972
48	54179.62298771181	120305.59423385502	174485.21722156683
49	54310.2371553519	116422.64564267985	170732.88279803176
50	54441.17345276547	120944.91752682236	175386.09097958784
51	54572.43267441145	125533.00203841072	180105.43471282217
52	54704.015616708115	122392.79662861291	177096.81224532102
53	54835.923078037915	129058.68175342967	183894.6048314676
54	54968.15585875233	124921.88419798035	179890.0400567327
55	55100.714761176736	124141.53378950765	179242.2485506844
56	55233.600589615235	120597.05042726018	175830.6510168754
57	55366.81415035558	128137.3041849035	183504.1183352591
58	55500.35625167404	130581.77543644518	186082.13168811923
59	55634.22770384031	138131.43090571667	193765.65860955697
60	55768.429319122435	131108.27684714072	186876.70616626315
61	55902.961911791725	128466.36745257094	184369.32936436267
62	56037.8262981277	140895.56365643215	196933.38995455985
63	56173.02329642306	136551.9261668654	192724.94946328845
64	56308.55372698862	133562.14973658673	189870.70346357534
65	56444.41841215831	136758.76599185268	193203.184404011
66	56580.61817629416	134521.1346531933	191101.75282948746
67	56717.1538457913	142691.30980020206	199408.46364599335
68	56854.026249082955	135057.03791635856	191911.06416544152
69	56991.23621664551	134389.50918752135	191380.74540416687
70	57128.78458100353	123633.83551841162	180762.62009941516
71	57266.67217673479	124132.13155449406	181398.80373122887
72	57404.89984047538	128428.75984957513	185833.65969005052
73	57543.46841092475	116573.07413066311	174116.54254158784
74	57682.3787288508	109089.23128557099	166771.6100144218
75	57821.63163709502	117475.64811966552	175297.27975676054
76	57961.227980577554	118067.9623345709	176029.19031514844
77	58101.16860630234	115115.7931295806	173216.96173588294
78	58241.45436336227	113874.75382305136	172116.20818641363
79	58382.08610294432	106578.94729378646	164961.03339673078
80	58523.064678334726	97863.46709462654	156386.53177296126
81	58664.39094492416	99640.40968896568	158304.80063388986
82	58806.065760212914	107133.6542662709	165939.72002648382
83	58948.08998381611	107942.21016773967	166890.3001515558
84	59090.46447746892	106259.28575962748	165349.7502370964
85	59233.19010503177	104049.85980787042	163283.04991290218
86	59376.26773249561	107876.39755621452	167252.66528871012
87	59519.69822798716	101248.11968967547	160767.8179176626
88	59663.48246177416	100326.74205711608	159990.22451889023
89	59807.62130627069	93059.1408840297	152866.7621903004
90	59952.115636042414	85706.92342762576	145659.03906366817
91	60096.966327811926	86130.00502746773	146226.97135527967
92	60242.174260464046	76652.97794300714	136895.15220347117
93	60387.74031505116	83281.25584212567	143668.99615717682
94	60533.66537479858	88029.17120581384	148562.8365806124
