single_premium=100000.0
type=static_hybrid
benefit_at_maturity=157929.54847132182
irr=0.023111979230436175



t	traditional_part	fund_part	total
0	95848.21039723753	-3348.2103972375335	92500.0
1	96081.59054246033	-3469.2128995672415	92612.37764289309
2	96315.54626608074	-3563.879563476905	92751.66670260383
3	96550.07898763038	-3663.5286831887456	92886.55030444163
4	96785.19013014178	-3796.6314357958845	92988.55869434589
5	97020.8811201571	-3877.774288136825	93143.10683202028
6	97257.15338773669	-4000.912126524072	93256.24126121262
7	97494.00836646785	-3999.4885659812458	93494.51980048661
8	97731.44749347348	-4159.638934776126	93571.80855869735
9	97969.4722094208	-4138.997329709945	93830.47487971085
10	98208.08395853011	-4309.112611637416	93898.9713468927
11	98447.28418858358	-4383.8494514079575	94063.43473717562
12	98687.07435093395	-4526.9171147413645	94160.1572361926
13	98927.45590051344	-4558.235409274335	94369.2204912391
14	99168.43029584247	-4594.536161354358	94573.8941344881
15	99409.9989990386	-4656.460970552344	94753.53802848625
16	99652.16347582535	-4762.516106536157	94889.64736928919
17	99894.92519554113	-4773.192796106564	95121.73239943456
18	100138.28563114812	-4555.388295276226	95582.8973358719
19	100382.2462592412	-4640.801825812656	95741.44443342855
20	100626.808560057	-4892.059960107368	95734.74859994964
21	100871.97401748275	-5020.180256232822	95851.79376124992
22	101117.74411906535	-5388.170217220617	95729.57390184473
23	101364.12035602042	-5272.150169421293	96091.97018659912
24	101611.1042232413	-5596.009808173419	96015.09441506788
25	101858.69721930816	-5628.751664244344	96229.94555506381
26	102106.90084649705	-5388.8820011737	96718.01884532336
27	102355.71661078907	-5703.488505230986	96652.22810555808
28	102605.14602187942	-6038.024832609919	96567.1211892695
29	102855.19059318668	-6299.959657272366	96555.23093591431
30	103105.85184186188	-6792.511015946563	96313.34082591531
31	103357.13128879777	-6402.455893538653	96954.67539525911
32	103609.03045863804	-6742.686458878334	96866.3439997597
33	103861.55087978655	-6509.93458617448	97351.61629361207
34	104114.69408441662	-6800.340587235637	97314.35349718099
35	104368.46160848034	-6907.107498533572	97461.35410994677
36	104622.85499171786	-6977.573664184354	97645.2813275335
37	104877.87577766673	-7468.701462297011	97409.17431536972
38	105133.5255136713	-7842.385661417838	97291.13985225346
39	105389.80575089206	-7913.563600696848	97476.24215019522
40	105646.71804431513	-7764.089924387005	97882.62811992812
41	105904.2639527616	-8070.155077537105	97834.1088752245
42	106162.44503889704	-7976.9119731410065	98185.53306575604
43	106421.262869241	-6813.864399422423	99607.39846981858
44	106680.71901417649	-7238.796716321706	99441.92229785478
45	106940.81504795946	-7820.320506429252	99120.4945415302
46	107201.55254872845	-8282.265352883132	98919.28719584532
47	107462.93309851408	-8749.19265550347	98713.74044301061
48	107724.95828324872	-9107.929485039982	98617.02879820875
49	107987.62969277606	-8813.964585172453	99173.6651076036
50	108250.94892086076	-9156.330488397909	99094.61843246284
51	108514.91756519815	-9503.67884297003	99011.23872222812
52	108779.5372274239	-9265.94451629039	99513.59271113352
53	109044.80951312376	-9770.596125044283	99274.21338807949
54	109310.73603184328	-9457.41317899043	99853.32285285284
55	109577.31839709757	-9398.335489883339	100178.98290721423
56	109844.55822638111	-9129.994647299622	100714.56357908148
57	110112.45714117757	-9700.84174681544	100411.61539436213
58	110381.01676696962	-9885.904394392503	100495.11237257712
59	110650.23873324883	-10457.463265684964	100192.77546756386
60	110920.12467352551	-9925.764034776868	100994.36063874865
61	111190.67622533867	-9725.754013423806	101464.92221191486
62	111461.8950302659	-10666.726403788658	100795.16862647724
63	111733.78273393342	-10337.884306166425	101395.898427767
64	112006.34098602594	-10111.538448549194	101894.80253747675
65	112279.5714402968	-10353.54344947293	101926.02799082387
66	112553.4757545779	-10184.139951856609	102369.3358027213
67	112828.05559078981	-10802.676268420028	102025.37932236979
68	113103.31261495185	-10224.711374680257	102878.60124027159
69	113379.24849719221	-10174.175033205815	103205.0734639864
70	113655.86491175802	-9359.89937157756	104295.96554018046
71	113933.1635370256	-9397.623678482954	104535.53985854264
72	114211.14605551057	-9722.906869046454	104488.23918646412
73	114489.81415387812	-8825.353017022342	105664.46113685578
74	114769.16952295318	-8258.776596829252	106510.39292612392
75	115049.21385773072	-8893.683839867417	106155.5300178633
76	115329.94885738603	-8938.525944980654	106391.42291240537
77	115611.37622528501	-8715.027203145826	106896.34902213918
78	115893.49766899455	-8621.072316309397	107272.42535268515
79	116176.31490029283	-8068.731489366044	108107.58341092677
80	116459.82963517973	-7408.911972345841	109050.91766283389
81	116744.0435938873	-7543.438283871681	109200.60531001561
82	117028.95850089009	-8110.72647739983	108918.23202349026
83	117314.5760849157	-8171.939508948269	109142.63657596742
84	117600.89807895523	-8044.530996190804	109556.36708276442
85	117887.9262202738	-7877.262832983828	110010.66338728997
86	118175.66225042111	-8166.957058806905	110008.70519161421
87	118464.10791524198	-7665.1525683329255	110798.95534690906
88	118753.26496488696	-7595.398185256345	111157.86677963061
89	119043.1351538229	-7045.192690396345	111997.94246342656
90	119333.72024084373	-6488.581183025868	112845.13905781787
91	119625.02198908095	-6520.611259451809	113104.41072962915
92	119917.04216601446	-5803.137604442081	114113.90456157239
93	120209.78254348325	-6304.942097382543	113904.8404461007
94	120503.24489769612	-6664.390704978885	113838.85419271723
95	120797.4310092425	-6262.235332065975	114535.19567717653
96	121092.34266310322	-6090.696493393413	115001.64616970981
97	121387.98164866136	-5986.776700925524	115401.20494773584
98	121684.34975971309	-6037.313040734019	115647.03671897907
99	121981.44879447858	-6526.3055002592955	115455.14329421928
100	122279.2805556129	-6858.706489888198	115420.57406572471
101	122577.84685021694	-6936.290449307778	115641.55640090916
102	122877.14948984838	-7048.751599139074	115828.39789070931
103	123177.19029053272	-7174.7365586060805	116002.45373192664
104	123477.97107277423	-7089.323027463176	116388.64804531106
105	123779.49366156709	-7478.6663724587615	116300.82728910833
106	124081.75988640635	-7532.049825934677	116549.71006047167
107	124384.77158129912	-7914.275376561012	116470.49620473811
108	124688.53058477567	-8050.937026051871	116637.59355872379
109	124993.03873990054	-8149.162587900399	116843.87615200014
110	125298.29789428382	-8016.059838006795	117282.23805627703
111	125604.30990009228	-7881.53352821544	117722.77637187684
112	125911.07661406063	-7976.911969259408	117934.16464480122
113	126218.59989750278	-8119.979632371796	118098.62026513099
114	126526.88161632317	-7841.673875175836	118685.20774114733
115	126835.92364102804	-7859.468358366863	118976.45528266118
116	127145.72784673682	-7933.493421295484	119212.23442544133
117	127456.29611319346	-8044.531007761593	119411.76510543187
118	127767.6303247779	-8354.866835269047	119412.76348950886
119	128079.73237051745	-8626.054792672525	119453.67757784492
120	128392.60414409828	-8408.250290571023	119984.35385352725
121	128706.2475438769	-8566.97710269728	120139.27044117963
122	129020.66447289169	-8403.2678330366	120617.39663985508
123	129335.8568388744	-8233.864331602867	121101.99250727154
124	129651.8265542618	-8480.851788848093	121170.9747654137
125	129968.57553620722	-8479.428226990223	121489.147309217
126	130286.10570659222	-8784.781595226626	121501.3241113656
127	130604.41899203823	-8685.844257518937	121918.5747345193
128	130923.51732391826	-8746.345505694684	122177.17181822358
129	131243.4026383686	-8591.177595907888	122652.22504246072
130	131564.07687630056	-8893.683852672997	122670.39302362756
131	131885.54198341232	-8885.142500999831	123000.39948241248
132	132207.79991020059	-9111.488360872356	123096.31154932822
133	132530.85261197257	-9115.759033916445	123415.09357805613
134	132854.70204885778	-9216.119931039288	123638.5821178185
135	133179.35018582	-9328.581081428623	123850.76910439137
136	133504.798992669	-9040.31041626579	124464.48857640322
137	133831.05044407278	-9041.022196066102	124790.02824800668
138	134158.10651956932	-9087.28785511412	125070.8186644552
139	134485.96920357872	-9280.180079499487	125205.78912407922
140	134814.64048541515	-9507.949497066254	125306.6909883489
141	135144.122359299	-9807.608631932746	125336.51372736627
142	135474.41682436893	-9969.182560160185	125505.23426420875
143	135805.52588469404	-10095.16751658244	125710.3583681116
144	136137.45154928596	-10236.81162077784	125900.63992850813
145	136470.19583211112	-10013.312878893576	126456.88295321754
146	136803.7607521029	-10113.673780510568	126690.08697159235
147	137138.14833317397	-10551.418127617331	126586.73020555664
148	137473.36060422845	-10894.495810361326	126578.86479386712
149	137809.39959917436	-10700.180025174821	127109.21957399954
150	138146.2673569358	-10358.525898515096	127787.7414584207
151	138483.96592146548	-10491.628647164242	127992.33727430124
152	138822.497341757	-10867.448185804931	127955.04915595207
153	139161.86367185737	-11028.3103382083	128133.55333364906
154	139502.0669708794	-10542.164993769746	128959.90197710964
155	139843.10930301424	-10451.769007260347	129391.3402957539
156	140184.99273754391	-9811.879308151947	130373.11342939196
157	140527.7193488538	-9470.936969773904	131056.7823790799
158	140871.29121644533	-9414.706397454134	131456.5848189912
159	141215.7104249485	-9862.415652081734	131353.29477286676
160	141560.97906413465	-9967.759003349405	131593.22006078524
161	141907.0992289289	-9110.776577093515	132796.3226518354
162	142254.0730194232	-9021.09237016275	133232.98064926045
163	142601.90254088878	-9130.706400599667	133471.1961402891
164	142950.58990378905	-8302.195159470002	134648.39474431906
165	143300.13722379244	-6895.71902387272	136404.41819991972
166	143650.54662178512	-6378.967162752852	137271.57945903228
167	144001.82022388402	-6428.791725172094	137573.02849871194
168	144353.96016144956	-5878.586234035431	138475.37392741413
169	144706.96857109875	-5232.290518934212	139474.67805216456
170	145060.84759471804	-5679.287996655709	139381.55959806233
171	145415.59937947633	-6212.410780056432	139203.1885994199
172	145771.22607783804	-6541.964653534433	139229.2614243036
173	146127.72984757615	-6543.3882112109	139584.34163636525
174	146485.11285178526	-7028.8217737728055	139456.29107801247
175	146843.3772588948	-7264.420759433212	139578.95649946158
176	147202.52524268208	-7524.220251297373	139678.3049913847
177	147562.55898228555	-7375.458350965115	140187.10063132044
178	147923.48066221803	-7798.255328236312	140125.2253339817
179	148285.2924723799	-7937.052318353501	140348.2401540264
180	148647.99660807243	-7643.7991969455115	141004.19741112692
181	149011.5952700111	-7861.603698020457	141149.99157199066
182	149376.09066433896	-8323.548543906734	141052.54212043222
183	149741.48500264	-8446.68638026947	141294.79862237052
184	150107.78050195254	-7754.125003290192	142353.65549866235
185	150474.97938478278	-7336.310486020032	143138.66889876276
186	150843.08387911817	-7840.962093667095	143002.12178545108
187	151212.096218441	-7468.701456605243	143743.39476183575
188	151582.0186417419	-8122.826746380531	143459.19189536135
189	151952.85339353347	-8422.485882898642	143530.36751063482
190	152324.6027238639	-8402.556057763431	143922.04666610048
191	152697.2688883306	-8951.33799284184	143745.93089548877
192	153070.8541480939	-9154.195130021952	143916.65901807195
193	153445.36076989074	-9446.736476127673	143998.62429376307
194	153820.79102604845	-9436.771567262356	144384.0194587861
195	154197.1471944985	-9705.82419185247	144491.32300264604
196	154574.43155879044	-9574.856779895641	144999.5747788948
197	154952.6464081056	-9399.759037696635	145552.88737040895
198	155331.79403727106	-9198.325463235182	146133.46857403588
199	155711.87674677357	-8675.879369102346	147035.99737767124
200	156092.8968427735	-8053.072371704428	148039.8244710691
201	156474.85663711885	-8920.731488081477	147554.12514903737
202	156857.7584473592	-8875.889388409125	147981.86905895008
203	157241.60459675992	-8951.338007442248	148290.26658931767
204	157626.39741431613	-9341.393134002177	148285.00428031397
205	158012.13923476686	-9720.77156494123	148291.36766982562
206	158398.8323986093	-10025.4131580001	148373.4192406092
207	158786.47925211285	-9949.964535256651	148836.5147168562
208	159175.08214733354	-9326.445759019936	149848.6363883136
209	159564.64344212814	-9695.859280700397	149868.78416142776
210	159955.16550016857	-9817.57356442765	150137.59193574093
211	160346.65069095616	-10011.88934220247	150334.7613487537
212	160739.10138983608	-10254.60612380153	150484.49526603456
213	161132.51997801178	-10051.748992730181	151080.7709852816
214	161526.90884255935	-10080.22016968213	151446.6886728772
215	161922.2703764421	-10151.398116333281	151770.8722601088
216	162318.60697852497	-10663.167523582497	151655.43945494248
217	162715.92105358923	-10781.322905287394	151934.59814830183
218	163114.21501234695	-11169.242687534772	151944.97232481217
219	163513.49127145563	-11371.388042375394	152142.10322908024
220	163913.75225353293	-11606.987032499617	152306.7652210333
221	164315.00038717137	-11433.312857838015	152881.68752933334
222	164717.238106953	-11998.465719860078	152718.77238709293
223	165120.46785346422	-11623.357962024804	153497.1098914394
224	165524.69207331055	-11968.570984472104	153556.12108883844
225	165929.91321913153	-12502.405551055355	153427.50766807617
226	166336.13374961552	-12853.31280558742	153482.8209440281
227	166743.35612951475	-13156.530835031177	153586.82529448357
228	167151.58282966012	-12688.17997979729	154463.40284986285
229	167560.81632697632	-13235.538357668062	154325.27796930826
230	167971.05910449676	-13326.646125676292	154644.41297882047
231	168382.3136513787	-13409.924323988998	154972.3893273897
232	168794.58246291833	-13691.78897162675	155102.79349129158
233	169207.86804056593	-13952.300244326821	155255.5677962391
234	169622.172891941	-13742.325311084329	155879.84758085667
235	170037.49953084756	-14259.788956441653	155777.7105744059
236	170453.85047728926	-14038.425553999545	156415.4249232897
237	170871.22825748485	-14363.708747321949	156507.5195101629
238	171289.63540388338	-14716.751342607246	156572.88406127613
239	171709.0744551796	-14654.826534793105	157054.2479203865
240	172129.54795632933	-14199.99948500753	157929.54847132182
