single_premium=100000.0
type=static_hybrid
benefit_at_maturity=227434.51868964464
irr=0.04194025939351542



t	traditional_part	fund_part	total
0	67303.60826540529	25196.391734594712	92500.0
1	67466.58972122791	26106.97562504586	93573.56534627377
2	67629.97313328847	26819.373612353666	94449.34674564213
3	67793.75949291949	27569.26622911951	95363.02572203899
4	67957.94979389838	28570.908508950346	96528.85830284873
5	68122.54503245349	29181.535336861623	97304.08036931511
6	68287.5462072701	30108.18833809361	98395.73454536371
7	68452.95431949657	30097.47557370922	98550.42989320579
8	68618.77037275031	31302.660120034292	99921.4304927846
9	68784.99537312395	31147.32520807434	99932.32058119829
10	68951.63032919142	32427.49902481597	101379.1293540074
11	69118.67625201405	32989.91848728997	102108.59473930401
12	69286.13415514672	34066.550019428985	103352.6841745757
13	69454.00505464402	34302.23055436885	103756.23560901286
14	69622.28996906639	34575.4057318975	104197.6957009639
15	69790.98991948634	35041.410422621186	104832.40034210752
16	69960.1059294946	35839.51043267987	105799.61636217448
17	70129.63902520636	35919.85605643953	106049.49508164589
18	70299.59023526747	34280.80507893618	104580.39531420366
19	70469.96059086073	34923.570174166234	105393.53076502697
20	70640.7511257121	36814.370819017066	107455.12194472915
21	70811.96287609695	37778.51846427635	108590.4813403733
22	70983.59688084644	40547.76475151584	111531.36163236227
23	71155.65418135375	39674.675480952064	110830.32966230581
24	71328.13582158039	42111.826483098	113439.9623046784
25	71501.04284806261	42358.21978991092	113859.26263797353
26	71674.37630991766	40553.12116141382	112227.49747133147
27	71848.13725885021	42920.63926153649	114768.7765203867
28	72022.32674915872	45438.13588034118	117460.4626294999
29	72196.94583774183	47409.28215495182	119606.22799269366
30	72371.99558410479	51115.894198448645	123487.88978255344
31	72547.47705036585	48180.60026638761	120728.07731675346
32	72723.39130126275	50740.94791104402	123464.33921230678
33	72899.73940415915	48989.41301155103	121889.15241571018
34	73076.52242905113	51174.814314542964	124251.33674359409
35	73253.74144857365	51978.27066948858	125232.01211806224
36	73431.3975380071	52508.551895315024	125939.94943332212
37	73609.4917752838	56204.45117428663	129813.94294957042
38	73788.0252409945	59016.54848867433	132804.57372966883
39	73966.99901839503	59552.186046700794	133519.18506509584
40	74146.4141934128	58427.34714606895	132573.76133948175
41	74326.2718546534	60730.58875282139	135056.8606074748
42	74506.57309340725	60028.90352215244	134535.4766155597
43	74687.31900365614	51276.58547859062	125963.90448224675
44	74868.51068207994	54474.34184602708	129342.85252810702
